 ,7.x,None,Not applicable,,,
 ,6.x,None,Not applicable,,,
F5OS,1.x,None,Not applicable,Not vulnerable,None,None
Traffix SDC,5.x,5.1.0,None,Medium,5.9,Apache Cassandra
K36212405,,,,,,
BIG-IP (all modules),16.x,16.0.0 - 16.1.0,None,Medium,4.4,glibc
 ,15.x,15.1.0 - 15.1.3,None,,,
 ,14.x,14.1.0 - 14.1.4,None,,,
 ,13.x,13.1.0 - 13.1.4,None,,,
 ,12.x,12.1.0 - 12.1.6,Will not fix,,,
 ,11.x,11.6.1 - 11.6.5,Will not fix,,,
BIG-IQ Centralized Management,8.x,8.0.0 - 8.1.0,None,Medium,4.4,glibc
 ,7.x,7.0.0 - 7.1.0,None,,,
 ,6.x,6.0.1 - 6.1.0,None,,,
F5OS,1.x,None,Not applicable,Not vulnerable,None,None
Traffix SDC,5.x,5.1.0,None,Medium,5.5,glibc
K08641512,,,,,,
,"APM None
LTM None
DNS None",,,,,
K75885190,,,,,,
,"APM None
LTM None
DNS None",,,,,
K33820305,,,,,,
,"APM None
LTM None
DNS None",,,,,
K89941125,,,,,,
,"APM None
LTM None
DNS None",,,,,
K13815051,,,,,,
,"APM None
LTM None
DNS None",,,,,
K68146245,,,,,,
"BIG-IP (LTM, AAM, Advanced WAF, AFM, Analytics, APM, ASM, DDHD, DNS, FPS, GTM, Link Controller, PEM, SSLO)",16.x,16.0.0 - 16.0.1,16.1.0,High,7.5,iRules LX (Node.js)
 ,15.x,15.1.0 - 15.1.3,None,,,
 ,14.x,14.1.0 - 14.1.4,None,,,
 ,13.x,13.1.0 - 13.1.4,None,,,
 ,12.x,12.1.0 - 12.1.6,Will not fix,,,
 ,11.x,None,Not Applicable,,,
"BIG-IP (LTM, AAM, Advanced WAF, AFM, Analytics, APM, ASM, DDHD, DNS, FPS, GTM, Link Controller, PEM, SSLO)",16.x,16.0.0 - 16.1.0,None,Medium,5.5,iApps LX (Node.js)
 ,15.x,15.1.0 - 15.1.3,None,,,
 ,14.x,14.1.0 - 14.1.4,None,,,
 ,13.x,13.1.0 - 13.1.4,None,,,
 ,12.x,12.1.0 - 12.1.6,Will not fix,,,
 ,11.x,None,Not Applicable,,,
BIG-IQ Centralized Management,8.x,8.0.0 - 8.1.0,None,High,7.5,Node.js
 ,7.x,7.1.0,None,,,
 ,6.x,None,Not applicable,,,
F5OS,1.x,None,Not applicable,Not vulnerable,None,None
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K07944249,,,,,,
BIG-IP APM,16.x,16.0.0 - 16.0.1,"16.1.02, 4
			16.0.1.1 *,2,4",Medium,6.1,BIG-IP APM browser-based VPN
 ,15.x,15.1.0 - 15.1.2,"15.1.2.1 2,3",,,
 ,14.x,14.1.0 - 14.1.3,"14.1.4 *,2,4",,,
 ,13.x,13.1.0 - 13.1.3,"13.1.3.6 2,4",,,
 ,12.x,12.1.0 - 12.1.5,None,,,
 ,11.x,11.6.1 - 11.6.5,None,,,
APM Clients,7.x,"7.2.1
			7.1.9
			7.1.5 - 7.1.8","7.2.1.15
			7.1.9.85
			7.1.8.55",Medium,6.1,BIG-IP APM browser-based VPN
"BIG-IP (LTM, AAM, Advanced WAF, AFM, Analytics, ASM, DDHD, DNS, FPS, GTM, Link Controller, PEM, SSLO)",16.x,None,Not applicable,Not vulnerable,None,None
 ,15.x,None,Not applicable,,,
 ,14.x,None,Not applicable,,,
 ,13.x,None,Not applicable,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,8.x,None,Not applicable,Not vulnerable,None,None
 ,7.x,None,Not applicable,,,
 ,6.x,None,Not applicable,,,
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K71891773,,,,,,
BIG-IP (Advanced WAF and ASM),16.x,16.0.0 - 16.0.1,"16.1.0
			16.0.1.1*",Critical,9.0,ASM virtual server
 ,15.x,15.1.0 - 15.1.2,15.1.2.1,,,
 ,14.x,14.1.0 - 14.1.3,14.1.4*,,,
 ,13.x,13.1.0 - 13.1.3,13.1.3.6,,,
 ,12.x,12.1.0 - 12.1.5,12.1.5.3**,,,
 ,11.x,11.6.1 - 11.6.5,11.6.5.3,,,
BIG-IP (All other modules),16.x,None,Not applicable,Not vulnerable,None,None
 ,15.x,None,Not applicable,,,
 ,14.x,None,Not applicable,,,
 ,13.x,None,Not applicable,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,8.x,None,Not applicable,Not vulnerable,None,None
 ,7.x,None,Not applicable,,,
 ,6.x,None,Not applicable,,,
F5OS,1.x,None,Not applicable,Not vulnerable,None,None
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K52510511,,,,,,
"BIG-IP (Advanced WAF, ASM)",16.x,16.0.0 - 16.0.1,"16.1.0
			16.0.1.1",Medium,4.3,REST API
 ,15.x,15.1.0 - 15.1.2,15.1.3,,,
 ,14.x,14.1.0 - 14.1.3,14.1.4,,,
 ,13.x,None,Not applicable,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IP (all other modules),16.x,None,Not applicable,Not vulnerable,None,None
 ,15.x,None,Not applicable,,,
 ,14.x,None,Not applicable,,,
 ,13.x,None,Not applicable,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,7.x,None,Not applicable,Not vulnerable,None,None
 ,6.x,None,Not applicable,,,
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K23203045,,,,,,
BIG-IP (Advanced WAF and ASM),16.x,16.0.0 - 16.0.1,"16.1.0
			16.0.1.1*",High,8.0,TMUI/Configuration utility
 ,15.x,15.1.0 - 15.1.2,15.1.2.1,,,
 ,14.x,14.1.0 - 14.1.3,14.1.4*,,,
 ,13.x,13.1.0 - 13.1.3,13.1.3.6,,,
 ,12.x,12.1.0 - 12.1.5,12.1.5.3**,,,
 ,11.x,11.6.1 - 11.6.5,11.6.5.3,,,
BIG-IP (All other modules),16.x,None,Not applicable,Not vulnerable,None,None
 ,15.x,None,Not applicable,Not vulnerable,None,None
 ,14.x,None,Not applicable,Not vulnerable,None,None
 ,13.x,None,Not applicable,Not vulnerable,None,None
 ,12.x,None,Not applicable,Not vulnerable,None,None
 ,11.x,None,Not applicable,Not vulnerable,None,None
BIG-IQ Centralized Management,8.x,None,Not applicable,Not vulnerable,None,None
 ,7.x,None,Not applicable,,,
 ,6.x,None,Not applicable,,,
F5OS,1.x,None,Not applicable,Not vulnerable,None,None
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K56142644,,,,,,
APM Clients,7.2.x,7.2.1,7.2.1.1,High,7.8,Client Troubleshooting Utility on Windows
 ,7.1.x,"7.1.9 - 7.1.9.7
			7.1.5 - 7.1.8","7.1.9.8
			7.1.8.5",,,
BIG-IP (APM),16.x,16.0.0 - 16.0.12,"16.1.0
			16.0.1.1*",High,7.8,Client Troubleshooting Utility on Windows
 ,15.x,15.1.0 - 15.1.22,None,,,
 ,14.x,14.1.0 - 14.1.32,14.1.4*,,,
 ,13.x,13.1.0 - 13.1.32,13.1.3.6,,,
 ,12.x,12.1.0 - 12.1.5,Will not fix,,,
 ,11.x,11.6.1 - 11.6.5,Will not fix,,,
"BIG-IP (LTM, AAM, Advanced WAF, AFM, Analytics, ASM, DDHD, DNS, FPS, GTM, Link Controller, PEM, SSLO)",16.x,None,Not applicable,Not vulnerable,None,None
 ,15.x,None,Not applicable,,,
 ,14.x,None,Not applicable,,,
 ,13.x,None,Not applicable,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
BIG-IQ Centralized Management,7.x,None,Not applicable,Not vulnerable,None,None
 ,6.x,None,Not applicable,,,
Traffix SDC,5.x,None,Not applicable,Not vulnerable,None,None
K29282483,,,,,,
"BIG-IP (LTM, AAM, Advanced WAF, AFM, Analytics, APM, ASM, DDHD, DNS, FPS, GTM, Link Controller, PEM, SSLO)",16.x,16.0.0 - 16.0.1,"16.1.0
			16.0.1.1",High,7.5,Virtual servers configured to use the HTTP/2 profile
 ,15.x,15.1.0 - 15.1.2,15.1.3,,,
 ,14.x,None,Not applicable,,,
 ,13.x,None,Not applicable,,,
 ,12.x,None,Not applicable,,,
 ,11.x,None,Not applicable,,,
